aX,aY,aZ,gX,gY,gZ
0.329,1.879,2.303,-59.937,58.472,-63.110
0.127,1.682,2.224,-1.648,26.001,-56.030
0.048,1.499,1.822,101.013,-35.095,-27.710
-0.028,1.026,1.221,121.704,-43.823,-12.878
-0.041,0.931,1.093,119.751,-12.573,-10.559
-0.052,0.904,1.071,112.610,10.193,-24.780
-0.039,0.952,1.095,97.351,54.260,-54.016
0.011,1.036,1.182,98.328,66.101,-61.462
0.025,1.060,1.224,121.521,59.326,-62.683
0.030,1.173,1.232,137.695,47.668,-57.434
0.048,1.211,1.213,175.903,19.287,-41.382
0.100,1.117,1.160,198.975,3.052,-33.569
0.129,1.030,1.118,236.145,-21.362,-20.020
0.171,0.824,1.059,246.338,-24.414,-20.996
0.148,0.761,1.013,249.268,-13.000,-44.373
0.058,0.712,0.885,246.216,-8.240,-49.866
0.056,0.646,0.869,249.145,-14.587,-42.603
0.007,0.467,0.869,256.531,-17.334,-45.532
-0.018,0.381,0.838,265.320,-8.484,-56.335
0.052,0.207,0.841,267.090,-4.822,-60.608
0.067,0.184,0.810,265.381,-0.732,-71.350
0.043,0.209,0.689,253.113,1.038,-82.397
0.056,0.259,0.701,247.986,-10.254,-69.641
0.089,0.300,0.715,251.282,-22.522,-56.091
0.083,0.221,0.616,262.878,-25.146,-59.448
0.045,0.171,0.544,284.912,-56.824,-57.129
-0.016,0.139,0.483,287.598,-70.862,-54.687
-0.047,0.044,0.428,290.161,-92.896,-40.710
-0.149,-0.015,0.255,289.429,-115.723,-17.761
-0.173,0.066,0.214,280.579,-142.334,32.715
-0.162,-0.051,0.228,285.767,-143.616,50.903
-0.166,-0.182,0.172,331.848,-163.330,79.529
-0.226,-0.402,-0.283,367.981,-169.922,95.825
-0.234,-0.534,-0.713,429.077,-152.466,141.602
0.035,-1.246,-1.870,431.396,-141.785,168.884
0.369,-1.786,-2.446,308.044,-153.625,207.886
0.853,-2.409,-2.830,185.425,-174.316,202.454
0.878,-2.296,-2.565,-40.100,-156.616,134.033
0.812,-1.883,-1.818,-100.037,-83.191,68.542
0.702,-1.733,-1.543,-178.406,88.135,-78.430
0.443,-1.444,-1.038,-219.971,130.493,-123.413
0.394,-1.283,-0.824,-288.879,121.948,-126.404
0.426,-1.089,-0.555,-306.396,91.125,-96.924
0.411,-1.041,-0.465,-312.622,24.414,-44.739
0.308,-0.917,-0.338,-321.655,1.160,-44.250
0.224,-0.807,-0.295,-355.408,-9.460,-71.655
0.026,-0.529,-0.153,-358.582,3.540,-86.975
-0.061,-0.342,-0.047,-365.723,49.866,-109.314
-0.134,-0.016,0.270,-371.094,74.585,-117.004
-0.131,0.089,0.454,-353.271,97.046,-120.911
-0.111,0.257,0.693,-331.482,87.158,-106.018
-0.146,0.273,0.774,-273.437,17.761,-33.630
-0.332,0.440,0.847,-246.155,-17.517,4.822
-0.358,0.532,0.870,-217.041,-16.663,33.691
-0.219,0.578,0.964,-208.862,8.850,21.729
-0.086,0.498,0.992,-195.862,44.189,-20.935
0.013,0.275,0.928,-196.960,29.114,-26.245
-0.087,0.256,0.827,-195.740,-45.715,22.827
-0.262,0.346,0.692,-186.951,-68.542,65.613
-0.209,0.427,0.683,-183.899,-43.518,97.961
0.008,0.701,0.748,-196.594,-16.602,62.683
0.029,0.839,0.876,-263.184,41.626,-52.429
-0.059,0.874,1.085,-282.104,67.322,-77.271
