aX,aY,aZ,gX,gY,gZ
0.169,-0.522,-0.144,-390.137,20.447,-19.470
0.134,-0.424,0.003,-410.767,9.949,-51.941
0.084,-0.226,0.263,-394.287,4.150,-70.984
0.010,-0.136,0.316,-326.294,-1.770,-93.201
-0.242,0.087,0.303,-308.472,-7.080,-84.595
-0.326,0.167,0.372,-298.218,-25.696,-37.720
-0.336,0.302,0.610,-290.649,-34.363,-7.568
-0.310,0.348,0.704,-257.141,-49.377,37.292
-0.292,0.461,0.778,-241.455,-48.035,38.330
-0.313,0.542,0.763,-232.239,-32.288,21.667
-0.222,0.493,0.816,-221.558,29.907,-15.503
-0.132,0.397,0.884,-213.745,42.725,-11.963
-0.020,0.338,0.963,-195.190,-10.193,22.461
-0.026,0.401,0.957,-185.425,-48.218,29.602
-0.102,0.486,0.831,-175.110,-63.965,4.395
-0.127,0.419,0.728,-171.936,-41.016,-12.695
-0.118,0.329,0.607,-175.659,-15.320,-10.193
-0.101,0.304,0.593,-192.444,-19.897,2.502
-0.090,0.323,0.598,-241.272,-50.293,32.227
-0.065,0.399,0.604,-242.371,-67.139,30.518
-0.117,0.471,0.535,-225.525,-79.712,1.953
-0.300,0.795,0.359,-233.948,-67.566,-12.573
-0.353,0.976,0.400,-271.973,-6.409,-36.865
-0.307,1.296,0.785,-285.645,33.142,-54.260
-0.208,1.439,1.022,-287.537,100.830,-93.628
0.065,1.766,1.461,-269.470,114.014,-104.431
0.161,1.867,1.691,-194.580,81.421,-93.689
0.137,1.929,2.016,-144.836,48.035,-75.439
0.072,1.896,2.041,-40.405,-10.620,-24.048
0.028,1.711,1.883,4.822,-32.410,4.700
0.039,1.572,1.771,75.989,-59.814,37.170
0.026,1.360,1.554,101.624,-59.021,33.325
-0.003,1.285,1.466,135.071,-29.480,-2.075
-0.087,1.196,1.340,145.752,-11.475,-19.470
-0.133,1.197,1.305,162.231,8.545,-34.607
-0.203,1.224,1.267,171.143,12.024,-33.569
-0.209,1.249,1.233,181.091,14.648,-27.588
-0.154,1.283,1.161,204.529,13.733,-8.240
-0.104,1.264,1.147,219.543,7.141,-2.380
-0.047,1.244,1.124,250.122,-5.310,-0.305
0.035,1.175,1.042,263.672,-8.972,-1.709
0.036,1.083,0.997,290.527,-15.503,-8.850
-0.044,0.936,0.872,299.377,-16.663,-12.024
-0.072,0.884,0.837,310.120,2.014,-23.437
-0.025,0.825,0.765,314.636,20.020,-36.743
0.003,0.740,0.696,324.524,26.733,-64.880
-0.027,0.561,0.570,329.163,6.836,-61.646
-0.058,0.622,0.543,325.134,-23.682,-37.842
-0.039,0.678,0.591,327.332,-17.029,-35.950
-0.010,0.629,0.601,346.924,-0.122,-49.500
0.018,0.493,0.496,358.643,-8.179,-54.077
-0.000,0.422,0.400,367.737,-59.387,-30.518
-0.086,0.266,0.217,366.211,-94.971,1.648
-0.124,0.280,0.114,360.779,-148.376,72.815
-0.157,0.261,-0.064,364.929,-151.855,97.412
-0.113,0.123,-0.150,379.333,-145.325,116.333
-0.043,-0.227,-0.585,417.664,-153.198,151.611
0.009,-0.436,-0.997,436.523,-171.875,175.049
0.136,-0.705,-1.504,448.120,-194.946,241.638
0.717,-1.502,-2.501,433.044,-189.148,265.747
1.155,-1.900,-2.982,342.468,-109.802,207.581
1.650,-2.523,-3.729,245.850,-42.236,108.521
1.378,-2.562,-3.666,-49.133,60.608,-98.267
0.419,-1.867,-2.666,-175.903,81.787,-142.212
0.150,-1.499,-2.096,-293.396,95.459,-115.967
0.097,-1.161,-1.310,-320.374,93.750,-91.003
0.146,-1.051,-1.057,-372.253,72.327,-64.331
0.159,-0.826,-0.657,-392.090,57.556,-56.519
0.121,-0.714,-0.481,-414.124,35.950,-42.358
0.044,-0.473,-0.149,-408.020,34.485,-43.213
0.033,-0.382,0.005,-407.349,40.649,-74.097
0.011,-0.171,0.244,-403.870,39.978,-97.839
-0.005,-0.099,0.341,-338.440,39.001,-142.395
-0.101,-0.021,0.458,-306.030,37.170,-145.935

-0.226,2.290,1.291,-332.153,-3.662,-56.763
-0.352,2.839,2.206,-252.930,55.054,-62.195
-0.002,3.645,2.302,-108.704,129.517,-33.691
0.614,2.412,1.628,252.624,-84.351,62.317
0.040,0.883,1.514,237.976,-151.184,62.866
-0.218,1.328,1.135,155.640,-61.523,-10.132
-0.430,1.430,0.999,183.960,-7.141,-39.856
-0.386,1.358,0.973,211.792,45.593,-40.344
-0.213,1.360,1.143,213.989,44.983,-29.175
-0.137,1.379,1.181,237.366,36.743,-28.748
-0.102,1.352,1.044,257.141,32.349,-39.673
-0.139,1.311,0.954,289.124,25.146,-60.059
-0.212,1.230,0.833,297.485,27.344,-63.354
-0.243,1.132,0.802,304.749,37.598,-44.861
-0.155,0.951,0.833,307.617,39.185,-26.306
-0.056,0.866,0.860,321.228,41.138,-18.250
0.078,0.738,0.771,326.782,36.865,-29.480
0.083,0.691,0.675,328.064,23.987,-39.734
0.012,0.622,0.526,325.500,-23.437,-29.053
-0.012,0.625,0.509,331.726,-42.664,-17.700
-0.020,0.681,0.481,347.046,-15.625,-42.908
-0.004,0.616,0.358,350.098,23.315,-75.195
0.009,0.543,0.297,340.271,45.654,-106.873
-0.004,0.441,0.288,328.674,13.977,-94.543
-0.023,0.372,0.322,313.660,-61.157,-30.762
-0.030,0.443,0.289,318.481,-84.229,-6.470
-0.019,0.552,0.191,341.492,-64.636,-29.968
-0.069,0.413,-0.023,354.797,-48.035,-49.316
-0.118,0.326,-0.157,368.347,-92.163,-23.071
-0.248,0.275,-0.285,370.544,-137.024,15.747
-0.345,0.143,-0.341,402.344,-194.763,86.792
-0.269,-0.732,-1.167,440.430,-204.529,118.469
0.066,-1.444,-2.247,430.359,-223.206,147.705
0.689,-3.186,-4.000,320.740,-211.548,114.563
0.744,-3.703,-4.000,12.329,-44.189,-12.207
0.474,-3.200,-3.618,-114.624,49.133,-56.152
0.240,-2.441,-2.781,-289.490,125.427,-87.341
-0.032,-1.105,-0.972,-328.491,136.719,-93.811
-0.026,-0.792,-0.414,-340.149,149.231,-91.309
0.084,-0.630,0.174,-333.618,143.188,-78.308
0.110,-0.618,0.307,-301.819,106.873,-55.115
0.017,-0.587,0.417,-278.442,85.937,-49.255
-0.083,-0.545,0.455,-229.309,73.364,-34.119
-0.264,-0.490,0.423,-204.285,81.726,-22.583
-0.312,-0.518,0.382,-170.959,82.703,7.629
-0.350,-0.538,0.316,-172.302,72.144,20.142
-0.359,-0.510,0.285,-191.040,46.326,36.316
-0.364,-0.435,0.283,-207.092,36.499,45.227
-0.355,-0.374,0.301,-223.572,30.090,56.152
-0.300,-0.320,0.380,-217.651,9.033,58.960
-0.287,-0.272,0.418,-216.125,0.488,60.425
-0.245,-0.020,0.487,-238.342,7.935,58.105
-0.204,0.064,0.528,-247.742,29.236,43.213
-0.158,0.065,0.585,-239.380,57.312,21.912
-0.073,-0.016,0.674,-226.990,43.762,34.546
-0.060,-0.060,0.694,-207.947,-24.597,91.125
-0.021,-0.007,0.708,-202.698,-50.293,110.962
0.004,0.138,0.655,-206.970,-33.752,79.468
0.003,0.389,0.513,-216.553,-4.333,43.152
0.002,0.373,0.522,-223.511,15.259,12.939
-0.019,0.303,0.528,-224.121,-4.761,27.649
-0.058,0.335,0.473,-230.041,-54.626,63.293
-0.004,0.520,0.382,-238.159,-62.378,64.575
0.031,0.586,0.340,-271.362,-65.369,20.203
-0.051,0.680,0.161,-317.200,-57.922,11.780
-0.164,0.835,0.015,-390.869,-58.411,42.786
-0.333,1.277,-0.172,-371.765,-72.510,39.673
-0.349,1.542,-0.064,-335.022,-72.327,5.493
-0.334,2.287,0.801,-361.572,-56.824,-12.512
-0.344,2.714,1.587,-351.624,2.625,-61.279
-0.082,3.117,3.188,-263.855,44.678,-78.674
0.183,2.951,3.462,-10.986,82.520,-35.461
0.321,2.110,2.666,107.788,36.377,-0.610
0.129,1.705,2.000,221.863,-71.899,8.911
-0.265,1.199,1.103,213.379,-63.721,-5.981
-0.341,1.079,1.003,150.696,29.175,-47.607
-0.283,1.123,1.170,125.000,65.796,-64.697
-0.202,1.186,1.253,130.493,75.928,-69.763
-0.144,1.299,1.232,152.100,55.664,-59.753
-0.164,1.295,1.187,196.472,6.165,-31.616
-0.202,1.240,1.063,213.623,-6.897,-20.447
-0.195,1.219,0.985,235.901,-2.075,-10.010
-0.078,1.116,0.918,243.225,10.071,-6.653
0.025,0.990,0.953,251.038,20.142,-4.272
0.113,0.811,0.965,264.099,16.968,-9.949
0.064,0.842,0.895,264.343,5.859,-20.447
-0.007,0.889,0.821,267.456,-6.836,-41.138
-0.100,0.843,0.715,273.193,-2.747,-43.518
-0.102,0.735,0.659,287.781,-3.662,-23.865
-0.068,0.525,0.568,294.006,-14.648,-6.897
-0.037,0.507,0.540,304.443,-26.978,-2.136
-0.020,0.507,0.438,304.565,-14.221,-17.822
-0.029,0.464,0.377,299.744,6.897,-36.438
-0.018,0.463,0.349,297.363,4.944,-34.607
0.025,0.511,0.391,300.598,21.240,-59.448
0.094,0.290,0.393,308.777,36.682,-87.769
0.074,0.187,0.307,301.147,13.000,-95.032
0.052,0.364,0.277,286.194,-18.738,-69.092
0.072,0.500,0.362,282.349,-51.758,-30.762
0.103,0.408,0.422,306.091,-54.810,-32.471
0.058,0.146,0.248,345.581,-67.078,-34.302
-0.188,-0.313,-0.658,410.461,-127.502,-7.507
-0.410,-0.595,-1.192,416.260,-152.649,10.681
-0.740,-1.689,-2.212,379.395,-146.912,55.603
-0.646,-2.416,-2.815,346.741,-125.000,96.985
0.014,-3.592,-4.000,210.144,-73.059,147.522
0.233,-3.696,-4.000,93.933,-49.622,127.869
0.252,-3.316,-3.644,-164.490,18.921,37.354
0.034,-1.991,-2.068,-258.362,62.622,-6.226
0.030,-1.493,-1.432,-340.210,123.840,-34.241
0.170,-0.949,-0.592,-354.858,124.939,-24.536
0.197,-0.779,-0.289,-369.507,89.172,-18.250
0.158,-0.510,0.131,-367.004,66.101,-23.254
0.120,-0.421,0.270,-335.022,18.433,-28.015
-0.030,-0.305,0.373,-308.350,-4.578,-27.954
-0.143,-0.262,0.352,-252.930,-29.663,-26.855
-0.315,-0.234,0.255,-233.765,-27.405,-20.020
-0.311,-0.206,0.266,-224.304,-11.230,8.240
-0.272,-0.045,0.360,-225.647,-2.014,12.878

-0.307,2.126,1.099,-364.624,62.195,-138.184
-0.318,2.355,1.578,-316.833,59.082,-73.486
-0.230,2.791,2.796,-248.291,47.668,-30.762
-0.231,3.310,3.111,-7.812,108.215,46.631
0.585,2.414,1.529,152.344,58.289,76.050
0.513,1.276,1.796,190.369,-92.590,58.350
0.091,1.763,1.913,109.436,-53.406,3.479
-0.054,2.030,1.830,177.368,38.940,-111.206
-0.198,1.931,1.373,239.014,53.772,-121.277
-0.193,1.856,1.199,287.964,17.212,-57.861
-0.112,1.700,1.108,296.021,-8.972,-21.912
-0.051,1.601,1.018,326.599,-30.029,8.179
-0.048,1.273,0.692,344.604,-30.640,7.874
-0.116,1.034,0.542,358.704,-32.471,5.981
-0.242,0.679,0.388,362.549,-46.448,16.968
-0.265,0.639,0.390,350.647,-46.936,23.376
-0.258,0.627,0.411,331.665,-10.071,7.446
-0.177,0.403,0.391,334.290,9.644,-5.249
-0.159,0.273,0.330,332.520,-6.409,3.784
-0.184,0.356,0.254,319.153,-29.724,19.470
-0.179,0.483,0.307,298.096,-20.325,21.240
-0.069,0.342,0.333,303.528,10.376,4.028
-0.010,0.145,0.229,318.909,1.099,0.305
0.002,0.115,0.095,312.744,-42.297,20.020
-0.031,0.264,0.129,285.828,-62.683,30.029
-0.036,0.271,0.178,279.114,-26.733,14.221
-0.007,0.164,0.186,286.255,2.991,5.676
0.047,0.189,0.197,293.030,-12.085,7.385
0.040,0.191,0.129,315.552,-34.607,1.099
-0.048,0.039,-0.105,329.040,-52.795,15.137
-0.075,-0.148,-0.242,345.398,-84.290,45.410
0.032,-0.918,-1.086,386.658,-153.442,110.046
0.186,-1.484,-1.850,388.306,-168.091,117.187
0.356,-2.117,-2.657,285.889,-117.126,63.965
0.478,-3.128,-3.685,184.387,-56.335,20.813
0.420,-3.246,-3.699,-35.400,53.711,-45.898
0.152,-2.618,-2.695,-129.761,78.857,-61.584
-0.000,-2.096,-1.995,-267.517,104.004,-71.594
-0.092,-1.287,-0.940,-303.162,112.244,-64.819
-0.024,-1.057,-0.593,-330.383,103.333,-27.222
0.144,-0.758,-0.068,-331.299,88.074,-8.728
0.180,-0.667,0.117,-305.725,54.993,3.967
0.149,-0.556,0.367,-283.691,44.434,-1.282
0.099,-0.538,0.442,-239.319,42.358,-25.818
-0.060,-0.480,0.468,-220.215,44.128,-35.645
-0.210,-0.493,0.340,-192.871,31.921,-35.278
-0.250,-0.485,0.267,-194.641,-3.357,7.935
-0.241,-0.397,0.250,-208.008,-21.851,34.668
-0.208,-0.310,0.310,-221.191,-54.504,50.293
-0.183,-0.096,0.454,-216.614,-58.838,24.475
-0.220,-0.021,0.494,-220.947,-7.446,-43.213
-0.264,0.051,0.515,-224.182,26.611,-60.242
-0.261,0.046,0.512,-223.938,47.241,-57.129
-0.192,0.002,0.553,-216.553,25.330,6.348
-0.156,0.021,0.607,-213.501,-12.878,47.058
-0.087,0.143,0.719,-207.703,-74.402,78.308
-0.061,0.243,0.728,-201.965,-70.496,57.800
-0.037,0.308,0.631,-184.509,-5.310,-30.640
-0.032,0.224,0.565,-177.063,26.794,-59.265
-0.019,0.136,0.514,-187.988,13.000,-27.161
-0.042,0.122,0.477,-203.064,-31.250,8.057
-0.036,0.186,0.491,-220.093,-105.896,33.508
-0.038,0.342,0.442,-224.121,-118.530,9.277
-0.018,0.435,0.339,-301.270,-69.214,-35.400
-0.122,0.842,0.143,-358.032,-36.743,-32.959
-0.234,1.088,0.178,-372.864,-15.564,-66.528
-0.426,1.737,0.578,-358.337,0.305,-99.304
-0.440,2.133,0.994,-371.460,56.274,-133.240
-0.290,2.811,2.377,-357.727,75.500,-112.671
-0.166,2.913,3.024,-159.668,78.064,-40.955
0.088,2.458,3.067,-29.358,47.424,-13.611
0.092,2.106,2.575,135.925,-60.425,26.550
-0.121,1.505,1.801,166.016,-95.581,40.894
-0.249,1.293,1.623,176.208,-67.749,31.372
-0.365,1.046,1.387,175.110,-24.475,8.240
-0.349,1.006,1.306,169.617,43.579,-35.156
-0.296,1.081,1.262,164.429,54.016,-44.373
-0.275,1.135,1.282,168.884,40.100,-34.424
-0.273,1.169,1.255,183.044,25.269,-24.902
-0.282,1.130,1.183,222.412,7.629,-9.827
-0.255,1.038,0.989,237.976,7.751,-3.784
-0.209,1.003,0.920,247.498,11.475,0.244
-0.104,0.877,0.866,257.812,19.470,6.409
-0.058,0.813,0.853,261.536,16.235,11.169
-0.029,0.754,0.840,270.813,-6.775,22.949
-0.041,0.659,0.734,278.259,-18.372,26.611
-0.068,0.660,0.642,287.720,-26.245,30.334
-0.069,0.787,0.571,286.682,-14.648,24.414
-0.050,0.795,0.569,294.312,35.889,-13.306
-0.015,0.589,0.499,305.359,49.255,-29.541
-0.001,0.521,0.454,316.040,18.127,-30.762
-0.022,0.633,0.414,310.486,-4.883,-22.461
-0.007,0.820,0.460,296.082,3.357,-21.362
0.117,1.035,0.617,299.988,36.804,-45.288
0.162,0.824,0.627,349.915,48.706,-78.003
0.168,0.470,0.305,379.517,-9.155,-52.246
0.158,0.518,-0.002,411.499,-148.071,24.780
0.033,0.144,-0.603,425.415,-199.646,64.514
-0.047,-0.175,-0.975,437.378,-243.286,102.600
-0.029,-1.189,-2.191,451.477,-265.198,132.629
0.125,-1.965,-3.063,431.152,-229.309,122.559
0.618,-3.483,-4.000,264.709,-136.841,103.821
0.812,-3.758,-4.000,135.315,-109.558,102.295
0.863,-3.529,-3.799,-117.310,-55.176,65.674
0.361,-2.218,-2.277,-210.571,-9.399,7.812
0.048,-1.591,-1.526,-286.743,95.337,-112.732
-0.171,-0.938,-0.615,-287.781,127.869,-132.568
-0.118,-0.821,-0.341,-289.124,128.906,-96.924
0.015,-0.689,0.047,-293.701,111.206,-68.970
0.037,-0.655,0.146,-281.067,72.021,-32.532
-0.014,-0.593,0.225,-259.949,53.223,-22.095
-0.071,-0.565,0.249,-212.463,27.283,-12.024
-0.198,-0.507,0.265,-199.829,23.071,-10.559
-0.234,-0.489,0.271,-196.533,31.799,-11.719
-0.226,-0.453,0.267,-200.378,38.391,-13.245
-0.213,-0.429,0.266,-215.332,29.053,-13.733
-0.221,-0.332,0.303,-229.004,14.160,-5.249
-0.250,-0.245,0.330,-252.014,-7.996,21.973
-0.242,-0.070,0.469,-259.338,-18.738,31.860

-0.226,1.653,1.395,-234.863,64.331,-99.792
-0.203,1.762,1.648,-215.515,115.967,-125.916
-0.105,1.781,2.119,-185.852,109.924,-93.201
-0.048,1.732,2.234,-88.562,37.537,10.620
0.014,1.558,2.085,-30.212,-12.146,41.382
0.016,1.473,1.919,49.500,-48.340,49.866
-0.026,1.346,1.693,72.144,-31.738,31.372
-0.059,1.294,1.630,98.999,14.709,-18.188
-0.141,1.285,1.529,109.314,26.978,-28.076
-0.151,1.313,1.522,137.207,22.217,-24.536
-0.087,1.444,1.550,151.123,16.052,-23.437
-0.040,1.496,1.553,187.500,15.564,-25.452
-0.027,1.598,1.426,211.060,15.930,-26.001
-0.032,1.599,1.292,260.498,5.249,-10.376
0.042,1.387,1.068,283.875,-9.460,6.958
0.077,1.263,0.996,319.336,-39.001,19.165
0.037,1.124,0.802,329.163,-34.424,6.836
-0.025,1.050,0.664,337.341,-2.136,-19.958
-0.065,0.882,0.523,336.914,6.409,-18.616
-0.048,0.880,0.526,335.632,26.733,-21.301
0.017,0.818,0.480,344.238,47.546,-38.940
0.051,0.753,0.428,359.253,62.012,-70.251
0.100,0.706,0.400,361.023,49.561,-75.378
0.128,0.651,0.362,374.756,13.306,-77.698
0.130,0.527,0.143,382.874,-14.771,-69.336
0.115,0.529,0.042,383.972,-45.105,-56.458
0.109,0.432,-0.017,383.972,-85.632,-33.752
0.114,0.152,-0.163,385.315,-109.924,-12.634
0.107,0.092,-0.237,383.728,-179.749,44.434
0.001,0.023,-0.479,384.277,-198.120,64.514
-0.071,-0.086,-0.722,391.479,-175.537,81.848
-0.139,-0.580,-1.371,397.522,-158.508,92.285
-0.129,-0.922,-1.706,409.424,-161.987,133.301
0.040,-1.649,-2.522,403.931,-153.809,149.719
0.295,-2.028,-3.069,314.880,-53.101,127.747
0.701,-2.625,-3.760,212.585,-3.296,91.003
0.647,-2.597,-3.628,-50.415,26.978,-3.662
0.170,-1.887,-2.522,-162.354,34.363,-41.382
0.011,-1.507,-1.919,-283.203,86.243,-64.453
0.075,-1.082,-1.148,-308.167,112.854,-56.885
0.184,-0.970,-0.920,-346.558,121.704,-33.691
0.276,-0.788,-0.517,-362.976,105.530,-26.489
0.249,-0.698,-0.337,-377.197,69.458,-23.926
0.160,-0.538,-0.042,-373.840,61.035,-25.085
0.120,-0.484,0.045,-352.356,60.547,-29.175
0.034,-0.416,0.119,-337.646,59.448,-27.466
0.002,-0.391,0.147,-311.340,40.283,-13.550
-0.000,-0.331,0.225,-297.546,19.897,-5.005
-0.028,-0.291,0.260,-288.879,-18.127,8.301
-0.158,-0.133,0.231,-320.923,-22.522,21.118
-0.188,0.040,0.265,-353.882,-20.264,26.611
-0.109,0.149,0.530,-327.209,-18.738,7.446
-0.061,0.142,0.652,-274.170,-28.381,4.211
-0.089,0.184,0.695,-255.676,-50.964,16.174
-0.161,0.251,0.657,-242.676,-96.130,34.485
-0.212,0.482,0.718,-250.854,-89.294,28.503
-0.165,0.534,0.758,-255.371,-18.799,-20.996
-0.056,0.504,0.702,-241.333,7.019,-44.189
-0.104,0.474,0.613,-219.788,-9.949,-39.551
-0.260,0.562,0.502,-227.539,-40.894,-6.836
-0.286,0.714,0.529,-257.324,-80.933,43.762
-0.244,0.906,0.573,-259.094,-74.341,36.743
-0.239,0.951,0.525,-255.554,-59.448,19.348
-0.262,1.006,0.472,-258.423,-40.527,-2.686
-0.290,1.199,0.548,-265.747,-31.738,-5.981
-0.259,1.288,0.661,-278.381,3.052,-17.883
-0.190,1.397,0.875,-274.414,13.062,-26.184
-0.185,1.401,0.978,-263.794,-4.456,-21.362
-0.262,1.581,1.220,-258.606,-22.034,-5.737
-0.334,1.778,1.581,-205.749,-26.733,-1.282
-0.320,1.770,1.750,-162.354,-2.930,-10.559
-0.266,1.717,1.837,-76.660,54.382,-18.494
-0.089,1.658,1.801,-37.964,60.730,-14.160
-0.028,1.629,1.783,38.452,33.142,-18.127
-0.068,1.579,1.691,69.214,23.376,-28.137
-0.132,1.586,1.618,108.704,26.855,-45.410
-0.160,1.637,1.578,125.488,37.354,-49.988
-0.112,1.674,1.577,164.490,60.242,-57.800
-0.092,1.716,1.484,185.974,64.087,-60.242
-0.108,1.719,1.390,233.887,54.138,-57.007
-0.063,1.656,1.190,258.545,46.387,-51.575
0.003,1.565,1.118,302.979,28.259,-45.959
0.048,1.344,0.904,316.101,17.029,-44.922
-0.008,1.189,0.781,328.186,-12.878,-24.414
-0.097,0.930,0.715,327.454,-24.841,-3.540
-0.082,0.933,0.724,313.110,-10.681,7.812
-0.029,0.777,0.677,314.758,6.287,-4.700
-0.033,0.637,0.610,328.125,4.700,-16.602
-0.070,0.493,0.444,330.444,-14.160,-8.850
-0.097,0.503,0.376,325.684,-43.579,15.381
-0.109,0.503,0.325,322.510,-44.006,24.658
-0.067,0.492,0.340,323.730,-22.827,19.775
0.025,0.416,0.296,326.538,-7.812,-0.427
0.026,0.320,0.234,325.256,-3.540,-28.381
0.009,0.293,0.185,315.735,-14.832,-23.865
-0.010,0.330,0.244,301.575,-24.719,-12.634
-0.061,0.466,0.343,304.321,-10.986,-23.926
-0.088,0.487,0.318,314.331,12.695,-48.523
-0.137,0.527,0.168,348.877,50.659,-101.440
-0.172,0.517,0.056,371.704,45.959,-112.854
-0.221,0.453,-0.046,442.017,-29.236,-65.552
-0.310,0.074,-0.495,496.887,-85.327,-16.968
-0.220,-0.372,-1.190,619.019,-210.266,85.388
0.439,-1.826,-3.614,610.168,-282.166,124.634
0.698,-2.779,-4.000,290.222,-283.020,96.741
0.556,-3.346,-4.000,69.092,-135.803,29.602
0.328,-2.799,-3.832,-217.041,164.551,-84.290
0.004,-1.433,-2.280,-287.659,205.811,-91.125
-0.042,-0.943,-1.334,-347.412,154.602,-55.603
0.014,-0.548,-0.232,-355.225,126.709,-43.762
0.077,-0.528,0.010,-355.469,111.145,-39.978
0.172,-0.552,0.248,-345.947,109.802,-42.725
0.172,-0.546,0.305,-305.908,96.619,-51.880
0.048,-0.529,0.343,-278.442,88.501,-53.162
-0.052,-0.539,0.331,-226.929,78.003,-32.410
-0.187,-0.573,0.246,-210.022,69.641,-8.789
-0.226,-0.579,0.206,-196.533,27.222,42.480
-0.312,-0.570,0.144,-201.172,-1.343,61.035
-0.338,-0.532,0.141,-222.717,-42.786,86.060

-0.133,1.793,1.018,-345.886,7.812,6.836
-0.113,1.987,1.246,-262.451,-41.382,-5.798
-0.138,2.200,1.864,-256.836,-43.213,-23.376
-0.185,2.208,2.138,-183.411,-0.671,-47.363
-0.236,2.167,2.279,-124.756,21.667,-49.866
-0.211,2.110,2.209,-18.005,36.072,-25.757
-0.084,1.824,1.983,36.377,28.381,-11.292
-0.059,1.646,1.813,118.958,8.789,-1.648
-0.085,1.435,1.452,139.343,4.211,-5.188
-0.106,1.383,1.369,158.447,5.920,-15.930
-0.163,1.376,1.343,163.391,10.986,-19.653
-0.191,1.398,1.331,182.068,20.020,-19.287
-0.174,1.456,1.257,197.144,21.545,-15.137
-0.127,1.447,1.230,233.215,18.555,-7.141
-0.087,1.361,1.125,253.723,10.986,-7.385
-0.109,1.304,1.015,290.283,-11.292,-7.446
-0.114,1.138,0.786,301.697,-17.029,3.845
-0.084,1.042,0.718,314.392,-26.672,32.776
-0.077,0.869,0.638,317.139,-35.400,38.147
-0.115,0.791,0.600,321.411,-43.640,41.077
-0.120,0.687,0.535,321.228,-34.668,41.687
-0.119,0.625,0.500,322.266,-8.728,30.945
-0.157,0.583,0.436,321.960,-0.061,25.574
-0.174,0.591,0.438,322.937,7.385,20.325
-0.203,0.500,0.390,334.473,19.104,4.578
-0.174,0.346,0.345,346.436,10.254,9.521
-0.122,0.225,0.322,353.271,-45.166,60.669
-0.097,0.305,0.299,343.689,-65.674,82.092
-0.099,0.323,0.299,339.111,-48.767,81.238
-0.062,0.133,0.243,348.328,-28.259,67.261
-0.048,0.057,0.146,374.084,-17.639,50.720
-0.081,0.170,-0.104,384.888,-25.574,49.988
-0.039,0.129,-0.210,409.729,-49.316,58.411
0.096,-0.131,-0.444,426.331,-77.209,71.106
0.147,-0.199,-0.637,464.905,-137.817,110.168
0.345,-0.336,-1.274,486.328,-142.151,128.967
0.549,-0.566,-1.791,496.155,-106.384,138.733
1.147,-1.510,-2.971,452.087,-99.792,129.578
1.359,-1.956,-3.358,221.741,-112.061,87.769
1.408,-2.050,-3.342,76.050,-103.455,59.448
1.255,-1.818,-2.951,-137.573,-39.795,-8.728
0.758,-1.390,-2.000,-199.585,4.761,-51.514
0.559,-1.232,-1.712,-265.625,80.811,-116.577
0.421,-1.182,-1.498,-278.381,96.558,-120.972
0.427,-1.221,-1.428,-314.453,64.453,-75.745
0.400,-1.074,-1.163,-344.116,29.846,-52.002
0.321,-0.911,-0.984,-393.188,-9.460,-52.551
0.120,-0.643,-0.666,-405.945,0.793,-74.097
0.021,-0.534,-0.533,-423.950,48.889,-123.230
-0.078,-0.329,-0.257,-426.270,67.688,-143.433
-0.133,-0.234,-0.151,-424.561,86.121,-153.015
-0.279,0.002,0.036,-413.452,78.430,-141.357
-0.363,0.110,0.147,-390.808,61.707,-105.286
-0.446,0.336,0.395,-392.700,71.411,-81.421
-0.373,0.437,0.515,-385.559,107.605,-55.298
-0.175,0.493,0.696,-363.831,113.586,-55.786
-0.167,0.485,0.734,-298.157,82.764,-47.058
-0.247,0.522,0.709,-273.926,62.744,-24.597
-0.227,0.548,0.718,-250.793,35.339,42.053
-0.029,0.557,0.779,-241.577,22.095,62.134
0.046,0.521,0.771,-218.262,-25.818,56.946
-0.087,0.516,0.581,-211.365,-54.871,47.363
-0.189,0.524,0.473,-218.628,-68.359,57.922
-0.116,0.590,0.430,-239.075,-54.565,69.824
-0.002,0.622,0.467,-277.527,-26.550,46.448
0.120,0.675,0.466,-283.081,-18.860,15.198
0.081,0.734,0.409,-284.180,-28.198,-28.992
-0.117,0.950,0.417,-286.194,-46.448,-32.532
-0.187,1.084,0.509,-326.538,-64.209,-18.433
-0.307,1.432,0.678,-343.323,-56.580,-9.521
-0.353,1.586,0.799,-300.781,-28.564,-18.799
-0.380,1.774,1.164,-268.372,-14.587,-31.982
-0.348,1.902,1.351,-228.943,11.169,-40.955
-0.250,2.290,1.877,-204.041,22.705,-33.264
-0.453,2.938,2.671,-74.402,102.112,-9.766
0.216,3.038,1.020,51.941,90.088,20.020
0.422,1.549,1.287,189.941,-42.725,50.476
-0.011,1.238,1.776,122.437,-73.120,13.672
-0.222,1.739,1.483,95.764,-0.183,-41.992
-0.356,1.703,1.305,203.003,37.598,-105.164
-0.363,1.452,1.163,222.351,24.780,-71.472
-0.283,1.487,1.193,230.530,-0.305,-9.521
-0.167,1.547,1.144,245.361,3.357,-14.526
-0.147,1.570,1.018,275.940,28.625,-52.429
-0.153,1.362,0.826,290.344,34.302,-57.434
-0.148,1.205,0.781,312.073,10.925,-23.682
-0.131,0.945,0.760,317.505,-9.827,-1.282
-0.135,0.876,0.735,325.623,-39.001,24.292
-0.152,0.823,0.645,329.956,-40.100,23.437
-0.155,0.760,0.572,343.079,-19.653,3.174
