=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.03.26 12:43:46 =~=~=~=~=~=~=~=~=~=~=~=
0.458,-0.035,1.895,106.750,-232.422,35.950
0.615,0.107,2.144,106.567,-181.885,28.320
0.542,0.344,1.967,76.172,-141.479,34.668
0.406,0.485,1.701,34.851,-89.416,52.979
0.188,0.450,1.319,30.151,-85.449,55.359
0.132,0.447,1.253,-3.174,-83.557,67.810
0.149,0.386,1.202,-10.803,-75.623,69.824
0.173,0.317,1.138,-0.916,-65.430,69.336
0.122,0.380,1.005,50.171,-50.110,61.279
0.115,0.387,0.911,72.021,-49.561,43.640
0.113,0.335,0.881,76.172,-53.772,11.719
0.132,0.313,0.859,69.580,-48.218,13.794
0.170,0.392,0.881,97.595,-39.307,28.259
0.211,0.464,0.865,118.347,-35.583,30.640
0.247,0.518,0.917,122.681,-24.780,37.109
0.294,0.642,0.980,115.540,-13.306,36.316

-0.317,1.050,0.213,-272.766,26.550,117.065
-0.098,0.807,0.594,-74.219,-25.452,0.793
0.219,0.325,0.967,-53.406,-39.612,-35.889
0.459,0.469,0.889,-55.908,-21.057,-21.484
0.768,0.662,0.864,-66.406,-29.663,-28.748
0.573,0.585,0.919,-131.287,-72.021,-63.416
-0.155,0.949,0.995,-166.748,-61.218,-83.374
-0.507,1.239,1.000,16.235,18.127,-189.758
-0.446,0.710,0.821,174.438,52.063,-223.877
-0.225,0.489,0.811,321.777,59.631,-186.279
0.135,0.158,0.812,378.967,60.547,-158.447
0.247,0.017,0.814,367.981,83.008,-89.539
0.351,0.251,1.019,292.053,80.994,-86.548
0.289,0.312,1.154,220.093,80.261,-147.217
0.197,0.098,1.115,217.529,98.694,-158.020
0.116,0.077,1.043,195.190,136.719,-145.386
-0.152,-0.012,0.885,174.011,139.404,-137.817
-0.192,-0.144,0.754,86.487,69.519,-72.998
0.007,-0.272,0.542,30.945,12.024,-9.399
0.192,-0.309,0.544,-29.358,-63.232,106.689
0.603,-0.389,0.748,-39.490,-67.566,155.029
0.612,-0.323,0.888,-86.182,-20.264,220.703
0.249,-0.195,0.875,-137.695,7.141,235.596
0.121,-0.210,0.772,-213.562,13.184,258.301
0.091,0.159,1.049,-343.384,-17.151,374.573
0.153,0.452,1.182,-368.164,-10.986,418.518
0.188,0.666,1.131,-455.383,34.180,352.905
0.158,0.571,1.006,-527.710,56.641,279.053
0.157,0.567,0.864,-719.727,95.581,178.589
0.061,0.946,0.612,-806.824,103.149,130.371
-0.110,1.102,0.479,-1017.456,57.190,63.538
-0.202,1.443,-0.249,-1085.571,9.338,58.960
-0.106,1.480,-0.620,-713.562,-24.170,40.833
0.411,1.132,-0.592,-383.789,-26.123,26.123
0.426,1.119,-0.608,76.843,-118.347,-58.105
0.110,1.215,-0.623,280.212,-187.561,-121.887
0.111,1.109,-0.389,651.855,-299.927,-197.754
0.015,1.109,0.098,746.399,-319.641,-161.011
-0.106,0.904,0.351,872.803,-218.445,-135.376
-0.069,0.131,0.652,819.519,-121.826,-139.343
0.031,-0.034,0.573,433.655,5.554,-112.976
0.172,0.441,0.548,252.686,6.653,-83.252
0.239,0.636,0.619,269.958,2.808,-69.763
0.296,0.517,0.651,348.877,15.320,-87.769
0.304,0.489,0.741,469.849,44.373,-127.502
0.326,0.256,0.795,510.803,64.453,-137.939
0.321,0.101,0.773,436.401,97.351,-127.197
0.396,-0.025,0.822,378.235,101.257,-105.469
0.430,-0.088,0.778,306.763,80.322,-47.668
