=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.03.31 12:23:41 =~=~=~=~=~=~=~=~=~=~=~=
-0.586,0.555,-2.278,26.978,168.091,-174.744
-0.759,0.188,-2.680,95.032,7.690,-299.438
-0.705,-0.510,-2.718,115.295,-145.386,-309.265
-0.625,-0.426,-2.372,118.286,-375.183,-172.180
-0.443,0.849,-2.059,104.980,-400.696,-93.140
-0.711,1.307,-2.198,133.423,-374.512,-150.574
-2.139,-0.089,-1.997,158.997,-400.574,-317.383
-1.923,-1.512,-1.405,25.146,-611.084,-528.137
-0.438,-2.519,-0.085,-88.257,-660.339,-363.098
-0.151,-1.643,0.202,-179.321,-476.196,192.383
0.204,0.798,-0.017,-182.861,-372.498,317.505
0.500,1.259,0.005,-95.764,-349.976,131.409
0.503,0.258,0.424,-24.902,-361.267,-21.118
0.208,-0.468,0.622,35.034,-313.293,-120.728
0.462,-0.937,1.059,48.645,-258.728,-56.763
0.784,-0.712,1.212,97.656,-71.167,124.146
0.912,-0.079,0.911,121.643,42.969,173.828
0.817,0.025,0.567,157.288,186.096,188.416
0.375,-0.095,0.353,162.292,196.472,191.895
0.096,-0.005,0.629,87.341,181.152,246.704
-0.175,0.749,1.038,35.767,209.045,281.494
-0.209,1.238,0.834,-22.095,338.623,239.136
-0.360,1.664,-0.132,-58.472,387.634,136.841
-0.377,1.464,-0.558,-101.990,394.531,4.456
-0.137,0.712,-1.018,-150.391,329.468,-214.172
0.064,0.371,-1.299,-162.354,331.665,-267.883
0.207,-0.311,-2.118,-158.508,402.588,-302.795
0.194,-0.648,-2.452,-134.216,381.958,-284.180
0.354,-1.235,-2.080,-99.548,123.962,-174.683
0.464,-1.338,-1.295,-131.409,-49.683,-97.961
0.495,-0.912,0.104,-237.122,-215.637,72.571
0.422,-0.507,0.390,-239.624,-166.443,142.822
0.186,0.303,0.183,-167.297,83.557,197.083
0.006,0.555,-0.222,-119.019,219.971,175.415
-0.145,0.645,-0.734,-67.078,409.485,79.041
-0.200,0.419,-1.740,-54.199,436.829,27.344
-0.163,0.177,-2.073,-24.353,321.350,-45.105
-0.102,-0.348,-2.083,-19.470,201.660,-49.805
-0.102,-0.475,-1.741,-59.753,-8.606,20.935
-0.149,-0.249,-0.975,-95.337,-50.720,70.496
-0.135,-0.026,-0.770,-102.661,-21.545,111.816
-0.052,0.302,-0.746,-64.148,27.100,91.797
-0.065,0.273,-0.949,-20.630,137.817,9.033
-0.139,-0.094,-1.500,-0.977,164.124,-20.935
-0.130,-0.263,-1.644,45.654,118.469,-20.020
-0.057,-0.341,-1.511,45.593,64.026,4.089
-0.044,-0.217,-1.295,9.705,-19.592,52.368
-0.143,0.075,-0.919,-8.118,-32.288,56.519
-0.176,0.127,-0.785,-24.353,-24.536,26.733
-0.088,0.068,-0.588,-20.264,-8.240,4.761
-0.021,0.002,-0.533,3.601,54.504,-31.433
-0.046,-0.339,-0.821,41.565,77.820,-34.790
-0.098,-0.424,-1.081,-109.619,-23.865,35.767
-0.064,-0.199,-0.905,-131.348,-41.931,54.810
0.005,-0.266,-0.677,374.756,-12.756,16.602
-0.249,-0.256,-1.176,414.612,-38.269,9.033
-0.215,-0.180,-1.194,11.597,-4.456,87.708
-0.151,-0.019,-1.117,-52.124,23.071,123.169
-0.253,-0.001,-1.101,5.188,88.867,106.384
-0.205,-0.031,-0.956,38.635,109.863,93.201
-0.116,-0.020,-0.911,57.373,82.214,92.651
-0.008,0.067,-0.856,64.087,42.969,96.313
-0.040,0.122,-0.867,23.376,-29.297,94.543
-0.179,0.175,-0.982,-38.696,-48.157,89.844
-0.225,0.191,-1.050,-48.706,-45.654,61.523
-0.222,0.223,-1.059,-1.648,-33.142,43.274
-0.217,0.191,-1.068,10.986,7.996,9.399
-0.130,-0.024,-0.983,1.648,20.264,0.427
-0.110,-0.020,-0.972,4.089,13.916,-1.282
-0.131,0.008,-0.972,2.625,7.446,-0.183
-0.137,0.004,-0.975,-3.174,-3.479,0.183
-0.134,-0.008,-0.990,-3.906,-6.897,0.549
-0.151,-0.001,-1.005,1.770,-6.104,0.610
-0.151,-0.001,-1.001,1.404,-0.854,0.305
-0.139,-0.001,-0.988,0.122,2.930,-0.061
-0.137,-0.002,-0.986,0.061,1.221,-0.061
-0.140,-0.002,-0.991,0.000,-0.916,-0.183
-0.140,-0.002,-0.994,0.000,-0.671,-0.183
-0.141,-0.003,-0.994,0.061,0.000,-0.122
-0.141,-0.003,-0.994,0.122,0.305,-0.122
-0.140,-0.002,-0.991,0.122,0.488,-0.122
-0.139,-0.000,-0.989,0.000,-0.061,-0.122
-0.139,-0.000,-0.991,0.000,-0.671,-0.122
-0.140,-0.001,-0.992,0.061,-0.305,-0.061
-0.141,-0.001,-0.991,0.061,0.244,-0.061
-0.141,0.000,-0.992,0.061,0.183,-0.061
-0.140,-0.000,-0.991,-0.061,0.061,-0.183
-0.140,-0.002,-0.991,0.000,-0.183,-0.122
-0.139,-0.004,-0.994,0.061,-0.305,-0.122
-0.139,-0.004,-0.994,0.000,-0.061,-0.122
-0.141,-0.003,-0.993,0.000,0.183,-0.122
-0.141,-0.003,-0.995,0.061,0.000,-0.122
-0.141,-0.003,-0.995,0.061,-0.305,-0.122
-0.139,-0.002,-0.992,0.061,-0.183,-0.183
-0.139,-0.002,-0.993,0.061,0.000,-0.183
-0.139,-0.000,-0.991,0.061,0.061,-0.183
-0.140,-0.001,-0.991,0.061,0.122,-0.183
-0.141,-0.004,-0.993,0.000,-0.061,-0.183
